,iterations
2954,2
2955,10
2956,2
2957,2
2958,51
2959,1
2960,1
2961,0
2962,1
2963,0
2964,0
2965,1
2966,0
2967,1
2968,1
2969,0
2970,0
2971,0
2972,0
2973,0
2974,0
2975,0
2976,0
2977,0
2978,0
2979,0
2980,0
2981,0
2982,0
2983,0
2984,0
2985,0
2986,0
2987,0
2988,0
2989,0
2990,0
2991,0
2992,0
2993,5
2994,0
2995,0
2996,0
2997,0
2998,0
2999,0
3000,0
3001,0
3002,0
3003,0
3004,0
3005,0
3006,0
3007,0
3008,0
3009,0
3010,0
3011,15
3012,0
3013,0
3014,0
3015,0
3016,0
3017,0
3018,0
3019,0
3020,0
3021,0
3022,0
3023,0
3024,0
3025,0
3026,0
3027,0
3028,0
3029,0
3030,1321
3031,0
3032,0
3033,0
3034,0
3035,0
3036,0
3037,0
3038,0
3039,0
3040,1640
3041,183
3042,486
3043,275
3044,393
3045,1415
3046,1039
3047,284
3048,295
3049,0
3050,13
3051,11
3052,22
3053,96
3054,9
3055,21
3056,108
3057,231
3058,10
3059,34
3060,312
3061,314
3062,314
3063,315
3064,313
3065,0
3066,77
3067,305
3068,577
3069,314
3070,252
3071,1
3072,23
3073,387
3074,740
3075,342
3076,22
3077,337
3078,2295
3079,5
3080,282
3081,0
3082,194
3083,19
3084,148
3085,201
3086,6
3087,315
3088,2205
3089,1116
3090,0
3091,0
3092,0
3093,256
3094,0
3095,28
3096,344
3097,0
3098,458
3099,167
3100,295
3101,370
3102,151
3103,504
3104,952
3105,442
3106,447
3107,720
3108,968
3109,176
3110,22
3111,19
3112,29
3113,27
3114,0
3115,26
3116,152
3117,1834
3118,3
3119,19
3120,249
3121,156
3122,155
3123,2215
3124,0
3125,274
3126,1214
3127,207
3128,1629
3129,2182
3130,333
3131,108
3132,318
3133,152
3134,1579
3135,221
3136,160
3137,215
3138,1020
3139,1387
3140,1
3141,2208
3142,2247
3143,1756
3144,0
3145,0
3146,0
3147,785
3148,0
3149,133
3150,2
3151,0
3152,1
3153,2176
3154,27
3155,2216
3156,26
3157,1
3158,0
3159,0
