,iterations
792,13
793,0
794,3
795,241
796,288
797,0
798,0
799,1
800,1
801,1
802,4
803,1
804,52
805,1
806,157
807,0
808,0
809,1
810,137
811,155
812,1420
813,192
814,1
815,31
816,43
817,437
818,53
819,157
820,1384
821,88
822,947
823,206
824,120
825,0
826,164
827,489
828,2157
829,0
830,1518
831,187
832,425
833,1955
834,186
835,707
836,150
837,2094
838,163
839,209
840,325
841,14
842,229
843,206
844,280
845,213
846,213
847,243
848,377
849,163
850,8
851,28
852,8
853,391
854,480
855,17
856,8
857,628
858,268
859,8
860,174
861,8
862,8
863,2
864,333
865,361
866,8
867,525
868,419
869,8
870,366
871,89
872,259
873,177
874,18
875,206
876,30
877,407
878,97
879,349
880,1
881,31
882,22
883,11
884,91
885,25
886,31
887,9
888,0
889,127
890,2
891,2
892,0
893,2
894,2
895,2
896,2
897,2
898,2
899,0
900,16
901,0
902,16
903,13
904,97
905,16
906,8
907,16
908,9
909,47
910,1
911,15
912,1
913,2
914,2
915,2
916,36
917,16
918,2
919,2
920,302
921,1244
922,10
923,166
924,281
925,155
926,318
927,157
928,185
929,16
930,280
931,171
932,198
933,15
934,396
935,322
936,290
937,689
938,504
939,467
940,2
941,330
942,236
943,186
944,366
945,264
946,277
947,233
948,420
949,381
950,351
951,7
952,181
953,150
954,168
955,266
956,418
957,736
958,7
959,8
960,340
961,1984
962,29
963,385
964,313
965,176
966,28
967,13
968,404
969,17
970,203
971,369
972,317
973,323
974,308
975,488
976,371
977,170
978,9
979,11
980,2381
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,1589
990,0
991,0
992,2206
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,31
1021,27
1022,1623
1023,340
1024,0
1025,32
1026,24
1027,92
1028,876
1029,27
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,1
1056,0
1057,1
1058,1
1059,1
1060,495
1061,0
1062,0
1063,19
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,1789
1072,261
1073,144
1074,1
1075,0
1076,185
1077,1
1078,6
1079,185
1080,0
1081,0
1082,1
1083,0
1084,1
1085,1517
1086,0
1087,0
1088,1
1089,0
1090,0
1091,811
1092,318
1093,202
1094,166
1095,462
1096,1235
1097,275
1098,0
1099,1713
1100,1
1101,1
1102,1
1103,1
1104,2
1105,1
1106,1
1107,0
1108,0
1109,10
1110,1
1111,1
1112,0
1113,1
1114,0
1115,0
1116,0
1117,1
1118,1
1119,0
1120,4
1121,60
1122,271
1123,3
1124,55
1125,230
1126,148
1127,5
1128,270
1129,457
1130,69
1131,431
1132,420
1133,143
1134,629
1135,338
1136,92
1137,638
1138,127
1139,731
1140,4
1141,914
1142,5
1143,5
1144,439
1145,6
1146,4
1147,12
1148,11
1149,3
1150,7
1151,765
1152,19
1153,19
1154,12
1155,12
1156,7
1157,4
1158,6
1159,74
1160,266
1161,108
1162,390
1163,465
1164,629
1165,617
1166,97
1167,2000
1168,610
1169,1085
1170,838
1171,235
1172,451
1173,270
1174,364
1175,571
1176,355
1177,114
1178,155
1179,919
1180,282
1181,10
1182,146
1183,42
1184,57
1185,56
1186,38
1187,38
1188,578
1189,15
1190,504
1191,118
1192,133
1193,167
1194,25
1195,219
1196,761
1197,564
1198,12
1199,44
1200,713
1201,11
1202,149
1203,637
1204,44
1205,314
1206,94
1207,655
1208,65
1209,11
1210,25
1211,30
1212,5
1213,18
1214,44
1215,91
1216,65
1217,5
1218,103
1219,5
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,2
1231,2
1232,2
1233,2
1234,2
1235,2
1236,2
1237,0
1238,2
1239,2
1240,64
1241,59
1242,901
1243,75
1244,34
1245,64
1246,1093
1247,64
1248,212
1249,169
1250,0
1251,0
1252,6
1253,0
1254,0
1255,6
1256,0
1257,1
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,400
1271,158
1272,400
1273,400
1274,400
1275,400
1276,400
1277,400
1278,158
1279,158
1280,1550
1281,1550
1282,1551
1283,1550
1284,1550
1285,1550
1286,1551
1287,1550
1288,1550
1289,1550
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,14
1301,14
1302,36
1303,63
1304,130
1305,36
1306,14
1307,36
1308,14
1309,46
1310,2341
1311,2341
1312,2341
1313,2341
1314,2341
1315,2339
1316,2341
1317,2341
1318,2341
1319,2341
1320,401
1321,351
1322,401
1323,401
1324,401
1325,401
1326,401
1327,401
1328,401
1329,401
1330,493
1331,493
1332,493
1333,493
1334,493
1335,493
1336,493
1337,493
1338,493
1339,493
1340,582
1341,582
1342,582
1343,582
1344,582
1345,582
1346,582
1347,582
1348,582
1349,582
1350,641
1351,641
1352,562
1353,642
1354,641
1355,641
1356,641
1357,641
1358,641
1359,641
1360,19
1361,0
1362,15
1363,44
1364,20
1365,18
1366,22
1367,17
1368,20
1369,20
1370,13
1371,13
1372,17
1373,542
1374,20
1375,16
1376,13
1377,18
1378,15
1379,20
1380,25
1381,21
1382,130
1383,14
1384,89
1385,17
1386,21
1387,46
1388,21
1389,55
1390,24
1391,25
1392,158
1393,0
1394,0
1395,0
1396,30
1397,29
1398,51
1399,111
1400,17
1401,17
1402,9
1403,9
1404,9
1405,9
1406,9
1407,9
1408,9
1409,9
1410,6
1411,6
1412,6
1413,6
1414,2435
1415,460
1416,253
1417,284
1418,6
1419,337
1420,415
1421,416
1422,495
1423,495
1424,416
1425,417
1426,416
1427,416
1428,416
1429,415
1430,1
1431,44
1432,43
1433,43
1434,44
1435,44
1436,43
1437,1
1438,43
1439,0
1440,0
1441,0
1442,0
1443,1
1444,0
1445,0
1446,0
1447,2
1448,0
1449,1
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,1
1467,1
1468,1
1469,0
1470,1787
1471,353
1472,547
1473,12
1474,554
1475,2
1476,442
1477,10
1478,11
1479,11
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,404
1491,36
1492,36
1493,36
1494,36
1495,35
1496,36
1497,36
1498,36
1499,36
1500,2
1501,36
1502,35
1503,36
1504,33
1505,35
1506,36
1507,36
1508,42
1509,52
1510,35
1511,35
1512,65
1513,35
1514,35
1515,35
1516,36
1517,34
1518,36
1519,34
1520,11
1521,1
1522,272
1523,109
1524,2
1525,278
1526,9
1527,1
1528,2
1529,45
1530,6
1531,1
1532,1
1533,40
1534,0
1535,1
1536,1
1537,4
1538,6
1539,40
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,544
1557,0
1558,0
1559,0
1560,337
1561,675
1562,2046
1563,1157
1564,2121
1565,2173
1566,2458
1567,891
1568,1710
1569,294
1570,0
1571,25
1572,2
1573,0
1574,1
1575,0
1576,26
1577,0
1578,2
1579,26
1580,326
1581,197
1582,0
1583,0
1584,31
1585,230
1586,2170
1587,0
1588,22
1589,0
1590,68
1591,7
1592,447
1593,20
1594,472
1595,201
1596,58
1597,1613
1598,19
1599,274
1600,460
1601,204
1602,211
1603,552
1604,161
1605,252
1606,16
1607,275
1608,575
1609,186
1610,292
1611,183
1612,140
1613,172
1614,140
1615,288
1616,1160
1617,166
1618,293
1619,98
1620,360
1621,169
1622,285
1623,583
1624,285
1625,471
1626,171
1627,166
1628,299
1629,452
1630,18
1631,4
1632,3
1633,863
1634,4
1635,1961
1636,898
1637,1882
1638,741
1639,3
1640,263
1641,143
1642,1
1643,175
1644,16
1645,2
1646,152
1647,71
1648,132
1649,246
1650,1744
1651,362
1652,0
1653,925
1654,163
1655,173
1656,1652
1657,1646
1658,168
1659,711
1660,1
1661,1
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,49
1672,4
1673,0
1674,3
1675,0
1676,0
1677,0
1678,2
1679,3
1680,1
1681,0
1682,0
1683,1
1684,0
1685,1
1686,0
1687,1
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,1
1703,0
1704,1
1705,39
1706,0
1707,1
1708,0
1709,1
1710,1
1711,1
1712,0
1713,0
1714,0
1715,0
1716,0
1717,2
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,1
1732,1
1733,0
1734,1
1735,0
1736,384
1737,0
1738,0
1739,0
1740,0
1741,0
1742,1
1743,0
1744,3
1745,0
1746,1
1747,0
1748,0
1749,1
1750,0
1751,0
1752,1
1753,0
1754,0
1755,1
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,1
1772,0
1773,0
1774,0
1775,34
1776,2
1777,0
1778,0
1779,0
1780,1
1781,0
1782,1
1783,1
1784,0
1785,0
1786,1
1787,2
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,1
1801,0
1802,2167
1803,0
1804,1
1805,87
1806,1
1807,2
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,2
1818,1
1819,1
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,68
1831,68
1832,853
1833,2403
1834,157
1835,66
1836,739
1837,561
1838,2122
1839,64
1840,2331
1841,76
1842,860
1843,49
1844,78
1845,997
1846,78
1847,77
1848,1915
1849,75
1850,1372
1851,606
1852,78
1853,54
1854,65
1855,65
1856,442
1857,66
1858,65
1859,1118
1860,137
1861,136
1862,160
1863,158
1864,1454
1865,1201
1866,162
1867,183
1868,181
1869,244
1870,0
1871,0
1872,14
1873,0
1874,0
1875,0
1876,1137
1877,0
1878,0
1879,0
1880,2
1881,37
1882,1433
1883,15
1884,2291
1885,1744
1886,1
1887,1
1888,48
1889,2
1890,1231
1891,1292
1892,1820
1893,1421
1894,1201
1895,1286
1896,1213
1897,1682
1898,1281
1899,1239
1900,2
1901,5
1902,15
1903,5
1904,0
1905,5
1906,5
1907,2
1908,0
1909,0
1910,55
1911,55
1912,166
1913,289
1914,55
1915,12
1916,2
1917,19
1918,1
1919,211
1920,1
1921,0
1922,1
1923,1
1924,0
1925,75
1926,1
1927,0
1928,0
1929,0
1930,0
1931,34
1932,390
1933,205
1934,34
1935,35
1936,34
1937,34
1938,34
1939,511
1940,0
1941,1038
1942,2445
1943,39
1944,1968
1945,1299
1946,293
1947,42
1948,53
1949,321
1950,230
1951,855
1952,562
1953,1808
1954,181
1955,226
1956,308
1957,180
1958,218
1959,152
1960,427
1961,352
1962,459
1963,172
1964,322
1965,569
1966,2358
1967,193
1968,351
1969,195
1970,363
1971,400
1972,12
1973,444
1974,168
1975,168
1976,445
1977,465
1978,593
1979,1479
