,run
466,inconsistent
467,steady state
468,steady state
469,steady state
470,steady state
471,steady state
472,steady state
473,steady state
474,steady state
475,steady state
476,steady state
477,steady state
478,steady state
479,steady state
480,steady state
481,steady state
482,steady state
483,steady state
484,inconsistent
485,inconsistent
486,inconsistent
487,inconsistent
488,inconsistent
489,steady state
490,steady state
491,steady state
492,steady state
493,steady state
494,steady state
495,steady state
496,steady state
497,steady state
498,inconsistent
499,inconsistent
500,steady state
501,inconsistent
502,steady state
503,inconsistent
504,inconsistent
505,inconsistent
506,inconsistent
507,inconsistent
508,inconsistent
509,inconsistent
510,inconsistent
511,inconsistent
512,inconsistent
513,inconsistent
514,inconsistent
515,steady state
516,steady state
517,steady state
518,inconsistent
519,steady state
520,steady state
521,steady state
522,steady state
523,steady state
524,steady state
525,steady state
526,steady state
527,inconsistent
528,inconsistent
529,inconsistent
530,inconsistent
531,steady state
532,steady state
533,steady state
534,inconsistent
535,inconsistent
536,inconsistent
537,inconsistent
538,inconsistent
539,inconsistent
540,steady state
541,steady state
542,steady state
543,steady state
544,steady state
545,steady state
546,steady state
547,inconsistent
548,inconsistent
549,inconsistent
550,inconsistent
551,steady state
552,inconsistent
553,inconsistent
554,inconsistent
